country,country_code,super_region,region,sex,age,pop,alcohol_use,drug_use,high_meat,low_exercise,smoking
Thailand,THA,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,50-69 years,8230781,38.13296789,4.891403296,0.550505047,18.35622097,71.46004355
Thailand,THA,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,Under 5,1921995.529,0.076590123,0.025407414,NA,NA,NA
Thailand,THA,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,Under 5,1811418.395,0.080953987,0.010532005,NA,NA,NA
Thailand,THA,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,5-14 years,4213727,0.659874831,0.010303898,NA,NA,NA
Thailand,THA,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,15-49 years,17681890,66.07135292,17.07940101,0.086028592,3.520782775,45.00380601
Thailand,THA,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,5-14 years,4023404,0.350482719,0.003886063,NA,NA,NA
Thailand,THA,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,15-49 years,17766033,8.67811541,2.039174433,0.054360629,1.38927353,6.872021913
Thailand,THA,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,50-69 years,7658928,216.5013459,41.38346412,0.786443343,37.97617101,441.3612187
Thailand,THA,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,70+ years,2596382,147.4443823,8.544250886,1.362903458,154.7041582,460.9104246
Timor-Leste,TLS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,Under 5,106482.0346,0.178024379,0.167938697,NA,NA,NA
Timor-Leste,TLS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,Under 5,102091.3603,0.181682037,0.160773232,NA,NA,NA
Timor-Leste,TLS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,70+ years,14431,123.905635,13.52958207,5.706466982,142.1908732,810.7968606
Timor-Leste,TLS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,50-69 years,58049,30.85150675,2.834855695,4.020871711,29.30910559,155.7238051
Timor-Leste,TLS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,70+ years,17150,94.7358436,3.176586324,8.1598213,140.0346286,436.7492627
Timor-Leste,TLS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,5-14 years,152674,0.392385937,0.072941629,NA,NA,NA
Timor-Leste,TLS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,15-49 years,271828,17.07047486,4.625415386,0.142551414,1.758854341,20.53405042
Timor-Leste,TLS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,50-69 years,58726,70.52622386,11.61141336,2.378095996,32.39705984,285.4187274
Timor-Leste,TLS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,5-14 years,146065,0.229450802,0.069200479,NA,NA,NA
Timor-Leste,TLS,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,15-49 years,262110,3.39792241,1.245449675,0.164538881,0.746730211,5.762420551
Vietnam,VNM,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,70+ years,1534320,381.3922638,32.50848095,5.973038424,241.741701,2292.715013
Vietnam,VNM,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,15-49 years,25898247,4.363742846,1.450606214,0.118381831,0.568220958,5.332847286
Vietnam,VNM,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,50-69 years,8137489,19.30078288,2.66092884,1.599898678,12.62737351,73.53287074
Vietnam,VNM,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,Under 5,4092667.836,0.055806157,0.107478377,NA,NA,NA
Vietnam,VNM,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,Under 5,3672282.731,0.041898647,0.11502907,NA,NA,NA
Vietnam,VNM,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,5-14 years,7181294,0.563624963,0.02771551,NA,NA,NA
Vietnam,VNM,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,15-49 years,26265965,46.54546501,13.32921383,0.172245063,1.265105311,36.31312866
Vietnam,VNM,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,50-69 years,7164326,185.0813744,28.98859675,1.707567026,24.18488293,484.7000819
Vietnam,VNM,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,5-14 years,6654620,0.300821989,0.02904934,NA,NA,NA
Vietnam,VNM,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,70+ years,2870495,74.62674985,7.681965508,5.947838872,188.1484524,802.0587265
American Samoa,ASM,"Southeast Asia, East Asia, and Oceania",Oceania,male,Under 5,6000.436224,0.032358548,0.003184239,NA,NA,NA
American Samoa,ASM,"Southeast Asia, East Asia, and Oceania",Oceania,male,5-14 years,11129.97607,0.141899852,0.001272956,NA,NA,NA
American Samoa,ASM,"Southeast Asia, East Asia, and Oceania",Oceania,male,15-49 years,19530.61084,16.09859901,2.868125011,0.651961591,13.1872599,44.82808872
American Samoa,ASM,"Southeast Asia, East Asia, and Oceania",Oceania,female,Under 5,5568.986136,0.041174954,0.007401193,NA,NA,NA
American Samoa,ASM,"Southeast Asia, East Asia, and Oceania",Oceania,female,70+ years,1074.628601,35.45538057,3.545296568,8.812869783,347.2085577,476.9554827
American Samoa,ASM,"Southeast Asia, East Asia, and Oceania",Oceania,female,50-69 years,4007.599518,8.399110084,1.514964151,4.220507253,65.32425759,139.724568
American Samoa,ASM,"Southeast Asia, East Asia, and Oceania",Oceania,male,50-69 years,4459.861694,33.17126248,4.763067045,7.033985457,131.8590832,386.3601945
American Samoa,ASM,"Southeast Asia, East Asia, and Oceania",Oceania,male,70+ years,443.883522,79.1293045,11.17208012,13.93326529,448.1773824,1170.489658
American Samoa,ASM,"Southeast Asia, East Asia, and Oceania",Oceania,female,5-14 years,10935.29004,0.086048254,0.001283408,NA,NA,NA
American Samoa,ASM,"Southeast Asia, East Asia, and Oceania",Oceania,female,15-49 years,19763.63489,3.524655403,0.652750941,0.511017879,7.356607239,22.12483669
